"File.Name","Date","Notes","Latitude","Longitude","Accuracy","Locality","Country","State","CommonNames","ScientificName","associatedTaxa","Families","Date_YYYYMMDD"
"6512b_6512-090.jpg","5/12/06","Remarkable flowers of a native <b>Larkspur</b> in the canyon. I guess this is <i>Delphinium patens</i> ssp. <i>hepaticoideum</i> but cp. <i>D. parryi</i>. It's not common. The color ranges from maroon to deep blue. The flowers offer sweet nectar at the end of the spur, but long-tongued insects have to snuffle past the stamens to reach it. Pollination happens. (San Marcos Pass, 12 May 2006)",NA,NA,NA,"San Marcos Pass","United States","California","Larkspur","Delphinium patens; hepaticoideum; D. parryi","Delphinium patens; hepaticoideum; D. parryi",NA,"2006-05-12"
"6512c_6512-093.jpg","5/12/06","Grass flowers - like fern seeds - seem like fairy stuff, but here they with yellow pollen-bearing male stamens and tiny furry white female stigmas. This grass is native <b>California Brome</b> (<i>Bromus carinatus</i>). We have to be careful weeding the garden not to confuse this native with the non-native bromes like <b>Ripgut Grass</b> (<i>Bromus diandrus</i>) and kin that are trying to take over. Wind-pollinated grass flowers seem simple, but they are considered ""highly evolved"" because they have gone a step further and lost everything that is not essential. (San Marcos Pass, 12 May 2006)",NA,NA,NA,"San Marcos Pass","United States","California","California Brome; Ripgut Grass","Bromus carinatus; Bromus diandrus","Bromus carinatus; Bromus diandrus",NA,"2006-05-12"
"6512d_6511-064.jpg","5/12/06","Looking close at the female <b>Western Fence Lizard</b> (<i>Sceloporus occidentalis</i>) - the lower of the pair in my [Previous] photo. It's beautiful how the occasional scale gets green or turquoise color. (San Marcos Pass, 11 May 2006) <P>I believe the diamond-shaped green patch between and behind her eyes is the mysterious ""third eye"" - see my photo at: <BR>&nbsp;&nbsp; http://www.fotolog.com/treebeard/?photo_id=9087674",NA,NA,NA,"San Marcos Pass","United States","California","Western Fence Lizard","Sceloporus occidentalis","Sceloporus occidentalis",NA,"2006-05-12"
"6513a_6513-004.jpg","5/13/06","I took my usual weekend morning coffee on the porch looking for little songbirds in the trees when this non-native <b>Rock Dove</b> aka <b>City Pigeon</b> (<i>Columba livia</i>) almost knocked my camera over when it tried to land right next to me! Here it is sitting on an old plastic chair from school. Note the bands on both its legs. There was deep fog on both sides of the mountains this morning. I reckon this homing pigeon was waiting in the sun for the fog to clear. (San Marcos Pass, 13 May 2006)",NA,NA,NA,"San Marcos Pass","United States","California","Rock Dove; City Pigeon","Columba livia","Columba livia",NA,"2006-05-13"
"6514a_6514-018.jpg","5/14/06","New <b>Edith's Checkerspot</b> (<i>Occidryas editha</i>) butterfly in the canyon today. (San Marcos Pass, 14 May 2006) <P>I took my morning walk and saw many butterflies - but got few photos. I'm preoccupied with the school slide show I'm putting together. I spent most of the day staring at my computer. Que lastima!",NA,NA,NA,"San Marcos Pass","United States","California","Edith's Checkerspot","Occidryas editha","Occidryas editha",NA,"2006-05-14"
"6515a_6514-016.jpg","5/15/06","<b>Convergent Lady Beetles</b> (<i>Hippodamia convergens</i> in the family <i>Coccinellidae</i>) making more Lady Beetles on a plant in the canyon. Note how the female (?) on the right has black spots that the male (?) on the left almost completely lacks. The question marks (?) are a reminder not to take anything for granted. Tilt your head to the left to admire the robot faces they have painted on head and thorax! (San Marcos Pass, 14 May 2006) <P>In some winters I find thousands of these ""Lady Bugs"" converging in our canyon. This year I saw none. I'm glad a few have returned. See my photo at: <BR>&nbsp;&nbsp; http://www.fotolog.com/treebeard/?photo_id=5622374",NA,NA,NA,"San Marcos Pass","United States","California","Convergent Lady Beetles","Hippodamia convergens; Coccinellidae","Hippodamia convergens; Coccinellidae","Coccinellidae","2006-05-15"
"6515b_6514-010.jpg","5/15/06","Little <b>Silvery Blue</b> (<i>Glaucopsyche lygdamus</i>) butterfly working tiny flowers of <b>Lavender</b> (<i>Lavandula officinalis</i> or kin) in the garden. You can see it's whisker-thin proboscis. These little butterflies really are blue on top, and they look blue when they fly. The color almost disappears when they land with wings folded like this. You can see a hint of blue on the body and just a sliver of upper wing showing along the top edge of its front forewing. This individual seem unusually pale (or worn?) underneath. (San Marcos Pass, 14 May 2006) <P>Lavender has showy ""petals"" on top that are really just leafy bracts. That's the color in the background. This butterfly has found the small real flowers down below. The flowers are so purple that they are almost black. See my photo at: <BR>&nbsp;&nbsp; http://www.fotolog.com/treebeard/?pid=10557094",NA,NA,NA,"San Marcos Pass","United States","California","Silvery Blue; Lavender","Glaucopsyche lygdamus; Lavandula officinalis","Glaucopsyche lygdamus; Lavandula officinalis",NA,"2006-05-15"
"6516a_6514-020.jpg","5/16/06","First flower of native <b>Fairy Lantern</b> (<i>Calochortus albus</i>) - a kind of <i>Mariposa Lily</i> in the <i>Liliaceae</i> family - on the dry side of our garden. They might be my favorite wildflower - not showy like the poppies, but elegant. They have six petals like all lilies, but the upper three are sepal-like, and the other three form a tender trap to guide pollinator-insects to the sweet nectar glands at the base of the petals. One of the glands is visible in this photo. See my [Previous] photo to understand the trap. (San Marcos Pass, 14 May 2006)",NA,NA,NA,"San Marcos Pass","United States","California","Fairy Lantern","Calochortus albus; Mariposa Lily; Liliaceae","Calochortus albus; Mariposa Lily; Liliaceae","Liliaceae","2006-05-16"
"6516b_6515-024.jpg","5/16/06","Looking almost straight up into a new flower of native <b>Fairy Lantern</b> (<i>Calochortus albus</i>) - a kind of <i>Mariposa Lily</i> in the <i>Liliaceae</i> family. The flower is a trap, but it's a ""tender trap"" not a deadly one. Insects push in between the fringed petals past the inward-pointing hairs to get to the nectar glands and goodies inside. It's harder getting out, and pollination happens. (San Marcos Pass, 15 May 2006)",NA,NA,NA,"San Marcos Pass","United States","California","Fairy Lantern","Calochortus albus; Mariposa Lily; Liliaceae","Calochortus albus; Mariposa Lily; Liliaceae","Liliaceae","2006-05-16"
"6517a_6517-034.jpg","5/17/06","First new flowers of native <b>Rock Phacelia</b> (<i>Phacelia imbricata</i>) in the <b>Waterleaf</b> (<i>Hydrophyllaceae</i>) family. True to its common name, it grows on rocky outcrops and slides that are naturally disturbed. It also does well along mountain roads that are disturbed by people and cars. This one is doing well on the dry side of our garden. It's one of the hairiest plants I know - even the stamens are hairy! (San Marcos Pass, 17 May 2006) <P>Insects are still scarce, but the warm weather this week is starting to bring them out. The dark pellets scattered below the flowers are insect ""frass"" - poop - from unknown insect larvae still waiting for their wings.",NA,NA,NA,"San Marcos Pass","United States","California","Rock Phacelia; Waterleaf","Phacelia imbricata; Hydrophyllaceae","Phacelia imbricata; Hydrophyllaceae","Hydrophyllaceae","2006-05-17"
