"File.Name","Date","Notes","Latitude","Longitude","Accuracy","Locality","Country","State","CommonNames","ScientificName","associatedTaxa","Families","Date_YYYYMMDD"
"b624e_b624-027.jpg","6/24/11","67540255 This is looking into the secret heart of (I think) a native <b>Butterfly Mariposa Lily</b> (<i>Calochortus venustus</i>) in the <i>Liliaceae</i> plant family - but cp. <i>C. catalinae</i>. They are beautiful and strange, like a mandala. (San Marcos Pass, 24 June 2011)",NA,NA,NA,"San Marcos Pass","United States","California","Butterfly Mariposa Lily","Calochortus venustus; Liliaceae; C. catalinae","Calochortus venustus; Liliaceae; C. catalinae","Liliaceae","2011-06-24"
"b624f_b624-049.jpg","6/24/11","67540089 These are interesting new flowers of native <b>Broad-leaved Milkweed</b> (<i>Asclepias eriocarpa</i>) in the <i>Asclepiadaceae</i> plant family. (San Marcos Pass, 24 June 2011) <p>The humble milkweeds are really our most advanced flowers, except maybe the orchids. They have sepals and petals like most flowers, but they also have another ring of unusual structures above them called the corona. <p>See my photo and explantaion at: http://www.fotolog.com/treebeard/8108247",NA,NA,NA,"San Marcos Pass","United States","California","Broad-leaved Milkweed","Asclepias eriocarpa; Asclepiadaceae","Asclepias eriocarpa; Asclepiadaceae","Asclepiadaceae","2011-06-24"
"b625a_b621-035.jpg","6/25/11","67545721 The colors of summer... and wildfires! <p>This is a beautiful <b>Variable Checkerspot</b> (<i>Euphydryas chalcedona</i>) butterfly in the woods today working new flowers of <b>Golden Yarrow</b> (<i>Eriophyllum confertflorum</i>) in the <i>Asteraceae</i> plant family. (San Marcos Pass, 25 June 2011) <p>Butterflies are still scarce in our mountains, but I find them every day. Our <b>Butterfly Bush</b> (<i>Buddleia davidii</i>) in the garden is flowering - without butterflies! It's not right.",NA,NA,NA,"San Marcos Pass","United States","California","Variable Checkerspot; Golden Yarrow; Butterfly Bush","Euphydryas chalcedona; Eriophyllum confertflorum; Asteraceae; Buddleia davidii","Euphydryas chalcedona; Eriophyllum confertflorum; Asteraceae; Buddleia davidii","Asteraceae","2011-06-25"
"b625b_b624-044.jpg","6/25/11","67545639 This beautiful <b>Wasp</b> (<i>Hymenoptera</i>) is working summer flowers of <b>Golden Yarrow</b> (<i>Eriophyllum confertflorum</i>) in the <i>Asteraceae</i> plant family. I guess it's an <b>Ichneumon Wasp</b> (family <i>Ichneumonidae</i> or kin) from the shape of its abdomen. (San Marcos Pass, 24 June 2011)",NA,NA,NA,"San Marcos Pass","United States","California","Wasp; Golden Yarrow; Ichneumon Wasp","Hymenoptera; Eriophyllum confertflorum; Asteraceae; Ichneumonidae","Hymenoptera; Eriophyllum confertflorum; Asteraceae; Ichneumonidae","Asteraceae; Ichneumonidae","2011-06-25"
"b625c_b624-012.jpg","6/25/11","67545524 This is a tiny <b>Syrphid Flower Fly</b> (family <i>Syrphidae</i>, order <i>Diptera</i>) collecting pollen from the stamens of a native <b>California Honeysuckle</b> (<i>Lonicera hispidula</i>) flower in the <i>Caprifoliaceae</i> plant family. If you know about fly wing venation, you can spot the ""spurious vein"" in its wings. The fly's abdomen looks translucent. (San Marcos Pass, 24 June 2011)",NA,NA,NA,"San Marcos Pass","United States","California","Syrphid Flower Fly; California Honeysuckle","Syrphidae; Diptera; Lonicera hispidula; Caprifoliaceae","Syrphidae; Diptera; Lonicera hispidula; Caprifoliaceae","Syrphidae; Caprifoliaceae","2011-06-25"
"b625d_b625-020.jpg","6/25/11","67545446 Doesn't it cool you off just to look at this sweet-smelling <b>Yerba Buena</b> (<i>Satureja douglasii</i>) in the <i>Lamiaceae</i> plant family! <p>I appreciate that ""yerba buena"" means any local plant that smells like peppermint, but in California this is THE yerba buena, the original namesake of the city of San Francisco. It has a spicy taste and makes great peppermint tea when dried. It's not common in our mountains, though there is a large colony in our canyon. You can see a few flowers in my photo. (San Marcos Pass, 25 June 2011) <p>The plant seems to be related to the Mediterranean summer and winter savory plants in the <i>Satureja</i> genus, but it's been recently renamed as <i>Clinopodium douglasii</i>, which makes the relationship obscure. Those darned botanists!",NA,NA,NA,"San Marcos Pass","United States","California","Yerba Buena","Satureja douglasii; Lamiaceae; Satureja; Clinopodium douglasii","Satureja douglasii; Lamiaceae; Satureja; Clinopodium douglasii","Lamiaceae","2011-06-25"
"b625e_b625-003.jpg","6/25/11","67545309 I believe these are the very glandular new flower heads of <b>Coastal Tarweed</b> (<i>Madia sativa</i>) in the <i>Asteraceae</i> plant family. The pretty composite flowers open and close early in the morning, so I rarely see them. We also have the smaller Madia gracilis in our mountains, and some plants that seem to be intermediate between the two. (San Marcos Pass, 25 June 2011)",NA,NA,NA,"San Marcos Pass","United States","California","Coastal Tarweed","Madia sativa; Asteraceae","Madia sativa; Asteraceae","Asteraceae","2011-06-25"
"b625f_b622-016.jpg","6/25/11","67545193 These are new flowers of native <b>White Sage</b> (<i>Salvia apiana</i>) in the <i>Lamiaceae</i> plant family on the dry side of our garden. They have two stamens and one blue-tipped pistil. They start out folded up tight like this, so that only heavy insects like <b>Carpenter Bees</b> (<i>Anthophoridae</i>) can lever them open. (San Marcos Pass, 25 June 2011) <p>The leaves have a strong smell of camphor, like Vicks. They are widely used for ""smudge sticks"" - like natural incense. We rescued this plant from a slide along Paradise Road years ago. It's doing well in the garden.",NA,NA,NA,"San Marcos Pass","United States","California","White Sage; Carpenter Bees","Salvia apiana; Lamiaceae; Anthophoridae","Salvia apiana; Lamiaceae; Anthophoridae","Lamiaceae; Anthophoridae","2011-06-25"
"b626a_b626-010.jpg","6/26/11","67550411 This is ""Blue"" butterfly despite the lack of colors. <p>I guess it is a <b>Spring Azure</b> (<i>Celastrina ladon</i>) butterfly ""puddling"" on damp soil at a spring-fed wet place in the chaparral. Note its thin outstretched proboscis. It has blue upper wings, and it looks quite blue when it flies. (San Marcos Pass, 26 June 2011)",NA,NA,NA,"San Marcos Pass","United States","California","Spring Azure","Celastrina ladon","Celastrina ladon",NA,"2011-06-26"
"b626b_b625-005.jpg","6/26/11","67550290 This is a tattered <b>Gabb's Checkerspot</b> (<i>Chlosyne gabbii</i>) butterfly perched on a leaf of native <b>Canyon Sunflower</b> (<i>Venegasia carpesioides</i>) in the <i>Asteraceae</i> plant family. Butterflies have a tough life, though we don't appreciate it with all the flowers and sunshine. (San Marcos Pass, 25 June 2011)",NA,NA,NA,"San Marcos Pass","United States","California","Gabb's Checkerspot; Canyon Sunflower","Chlosyne gabbii; Venegasia carpesioides; Asteraceae","Chlosyne gabbii; Venegasia carpesioides; Asteraceae","Asteraceae","2011-06-26"
